Domain,Entity,Flow Name,Archetype,tRPC Procedure,Type,Procedure Wrapper,Permissions,Permission Mode,Roles,UI Entry Paths,Business Purpose,Implementation Status,Known Issues,Router File
Accounting,Invoices,List Invoices,View/Search,invoices.list,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/invoices,List invoices with optional filters and pagination,Client-wired,,server/routers/invoices.ts
Accounting,Invoices,Get Invoice By ID,View/Search,invoices.getById,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/invoices/:id,Get invoice by ID with line items,Client-wired,,server/routers/invoices.ts
Accounting,Invoices,Generate From Order,Create,invoices.generateFromOrder,mutation,protectedProcedure,accounting:create,all,"Super Admin, Accounting Manager",/orders/:id → Generate Invoice,Generate invoice from completed order,Client-wired,,server/routers/invoices.ts
Accounting,Invoices,Update Status,State Transition,invoices.updateStatus,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/invoices/:id,Update invoice status (DRAFT→SENT→PAID etc),Client-wired,,server/routers/invoices.ts
Accounting,Invoices,Mark Sent,State Transition,invoices.markSent,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",/accounting/invoices/:id,Mark invoice as sent to customer,Client-wired,,server/routers/invoices.ts
Accounting,Invoices,Void Invoice,State Transition,invoices.void,mutation,protectedProcedure,accounting:delete,all,"Super Admin, Accounting Manager",/accounting/invoices/:id,Void an invoice (cannot be reversed),Client-wired,,server/routers/invoices.ts
Accounting,Invoices,Get Summary,Report,invoices.getSummary,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/dashboard,Get invoice summary statistics,Client-wired,,server/routers/invoices.ts
Accounting,Invoices,Check Overdue,Action,invoices.checkOverdue,mutation,protectedProcedure,accounting:update,all,"Super Admin, Accounting Manager",Background/Scheduled,Check and update overdue invoice statuses,API-only,,server/routers/invoices.ts
Accounting,Payments,Preview Balance,View/Search,accounting.previewPaymentBalance,query,protectedProcedure,accounting:read,all,"Super Admin, Accounting Manager",/accounting/payments,WS-001: Preview client balance before payment,API-only,Permission string not in RBAC seed,server/routers/accounting.ts
Accounting,Payments,Receive Client Payment,Action,accounting.receiveClientPayment,mutation,protectedProcedure,accounting:create,all,"Super Admin, Accounting Manager",/accounting/payments,WS-001: Receive client payment (cash drop-off),API-only,Permission string not in RBAC seed,server/routers/accounting.ts
